sdates,shares
30-Jun-2022,NaN
31-Mar-2022,NaN
31-Dec-2021,773000000
30-Sep-2021,789000000
30-Jun-2021,789000000
31-Mar-2021,789000000
31-Dec-2020,790000000
30-Sep-2020,790000000
30-Jun-2020,790000000
31-Mar-2020,794000000
31-Dec-2019,800000000
30-Sep-2019,802000000
30-Jun-2019,813000000
31-Mar-2019,819000000
31-Dec-2018,829000000
30-Sep-2018,848000000
30-Jun-2018,854000000
31-Mar-2018,851000000
31-Dec-2017,850000000
30-Sep-2017,850000000
30-Jun-2017,850000000
31-Mar-2017,849000000
31-Dec-2016,847000000
30-Sep-2016,847000000
30-Jun-2016,848000000
31-Mar-2016,730000000
31-Dec-2015,678000000
30-Sep-2015,677000000
30-Jun-2015,677000000
31-Mar-2015,675000000
31-Dec-2014,675000000
30-Sep-2014,675000000
30-Jun-2014,676000000
31-Mar-2014,693000000
31-Dec-2013,697000000
30-Sep-2013,707000000
30-Jun-2013,710000000
31-Mar-2013,708000000
31-Dec-2012,707000000
30-Sep-2012,706000000
