cdates,cashflow
31-Dec-2021,1146000000
30-Sep-2021,816000000
30-Jun-2021,655000000
31-Mar-2021,622000000
31-Dec-2020,418000000
30-Sep-2020,345000000
30-Jun-2020,9000000
31-Mar-2020,701000000
31-Dec-2019,700000000
30-Sep-2019,737000000
30-Jun-2019,797000000
31-Mar-2019,515000000
31-Dec-2018,855000000
30-Sep-2018,963000000
30-Jun-2018,767000000
31-Mar-2018,649000000
31-Dec-2017,501000000
30-Sep-2017,564000000
30-Jun-2017,422000000
31-Mar-2017,501000000
31-Dec-2016,552000000
30-Sep-2016,259000000
30-Jun-2016,198000000
31-Mar-2016,69000000
31-Dec-2015,363000000
30-Sep-2015,496000000
30-Jun-2015,408000000
31-Mar-2015,309000000
31-Dec-2014,1155000064
30-Sep-2014,1774000000
30-Jun-2014,1088000000
31-Mar-2014,1470000000
31-Dec-2013,1228999936
30-Sep-2013,1644999936
30-Jun-2013,868000000
31-Mar-2013,1528000000
31-Dec-2012,1204999936
30-Sep-2012,1070000000
30-Jun-2012,769000000
31-Mar-2012,973000000
